stop_id,stop_name,stop_lon,stop_lat
StopPoint:OCETrain-71314000,gare de Santiago de Compostela,-0.2263709,39.0790031
StopArea:OCE71080044,gare de Segovia,-4.1132725,40.9340244
StopPoint:OCETrain-71080044,gare de Segovia,-4.1132725,40.9340244
StopArea:OCE71801084,gare de Tafalla,2.073367,41.3042445
StopPoint:OCETrain-71801084,gare de Tafalla,2.073367,41.3042445
StopArea:OCE71115006,gare de Tolosa,-2.0790882,43.1354954
StopPoint:OCETrain-71115006,gare de Tolosa,-2.0790882,43.1354954
StopArea:OCE71812024,gare de Tudela,-3.7010503,40.4262323
StopPoint:OCETrain-71812024,gare de Tudela,-3.7010503,40.4262323
StopArea:OCE71110000,gare de Venta de Ba̱os,-1.6362064,42.7546944
StopPoint:OCETrain-71110000,gare de Venta de Ba̱os,-1.6362064,42.7546944
StopArea:OCE71223081,gare de Vigo-Guixar, -8.711702,42.239547
StopPoint:OCETrain-71223081,gare de Vigo-Guixar, -8.711702,42.239547
StopArea:OCE94454603,gare de Vilar-Formoso, -6.828978,40.606179
StopPoint:OCETrain-94454603,gare de Vilar-Formoso, -6.828978,40.606179
StopArea:OCE71102004,gare de Villalba-de-Guadarrama, -4.008262,40.626615
StopPoint:OCETrain-71102004,gare de Villalba-de-Guadarrama, -4.008262,40.626615
StopArea:OCE71040402,gare de Zaragoza-Delicias,0.1484671,41.9059598
StopPoint:OCETrain-71040402,gare de Zaragoza-Delicias,0.1484671,41.9059598
StopArea:OCE71710000,gare de Zaragoza-Delicias,0.1484671,41.9059598
StopPoint:OCETrain-71710000,gare de Zaragoza-Delicias,0.1484671,41.9059598
StopArea:OCE71102046,gare de Zarzalejo,-1.9884402,43.2475209
StopPoint:OCETrain-71102046,gare de Zarzalejo,-1.9884402,43.2475209
StopArea:OCE71114009,gare de Zumarraga,-2.9871043,43.3148202
StopPoint:OCETrain-71114009,gare de Zumarraga,-2.9871043,43.3148202
