route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,weelchair
100100132:132,442,132,Bibliothèque François Mitterrand - Vitry-sur-Seine Cité du Moulin Vert,,3,,652c90,ffffff,oui
100100133:133,442,133,Sarcelles Bois d'Ecouen - Gare de Sarcelles-St-Brice - Le Bourget,,3,,77c695,000000,non
100100134:134,442,134,Fort d'Aubervilliers - Bondy Jouhaux-Blum,,3,,f59fb3,000000,oui
100100137:137,442,137,Porte de Clignancourt - Villeneuve-la-Garenne Z.I. Nord,,3,,f68f4b,000000,non
100100138:138,442,138,Porte de Clichy - Ermont-Eaubonne,,3,,bb4b9c,ffffff,non
100100139:139,442,139,Porte de la Villette - La Plaine Stade de France - Carrefour Pleyel - St-Ouen,,3,,f68f4b,000000,oui
100100140:140,442,140,Gabriel Péri - Gare d'Argenteuil,,3,,ed1b2a,ffffff,oui
100100141:141,442,141,La Défense Grande Arche - Lycée de Rueil-Malmaison,,3,,e0b03b,000000,oui
100100143:143,442,143,La Courneuve-Aubervilliers - Drancy Lycée Delacroix - Rosny-sous-Bois,,3,,006cb8,ffffff,non
100100144:144,442,144,La Défense Grande Arche - Rueil-Malmaison,,3,,c9a2cd,000000,oui
100100145:145,442,145,Eglise de Pantin - Cimetière de Villemomble,,3,,bb4b9c,ffffff,oui
100100146:146,442,146,Le Bourget - Montfermeil Les Bosquets,,3,,c9a2cd,000000,oui
100100147:147,442,147,Eglise de Pantin - Sevran Avenue Ronsard,,3,,ed1b2a,ffffff,non
100100148:148,442,148,Bobigny Pablo Picasso - Le Blanc-Mesnil Musée de l'Air / Aulnay-sous-Bois Garonor,,3,,8d653a,ffffff,oui
100100150:150,442,150,Porte de la Villette - Pierrefitte-Stains,,3,,f59eb3,000000,non
100100151:151,442,151,Porte de Pantin - Bondy Jouhaux-Blum,,3,,bb4b9c,ffffff,non
100100152:152,442,152,Porte de la Villette - Le Blanc-Mesnil ZA du Pont Yblon - Gonesse ZAC des Tulipes,,3,,ed1b2a,ffffff,non
100100153:153,442,153,Porte de la Chapelle - Stains Moulin Neuf,,3,,008b5a,ffffff,oui
100100156:156,442,156,Gare d'Épinay-Villetaneuse - Villetaneuse-Université-Paris-13,,3,,ffcd02,ffffff,oui
100100157:157,442,157,Pont de Neuilly - Nanterre-Ville - Nanterre Boulevard de Seine,,3,,bb499c,ffffff,oui
100100158:158,442,158,Pont de Neuilly - Rueil-Malmaison,,3,,f68f4b,000000,oui
100100159:159,442,159,La Défense Grande Arche - Nanterre Cité du Vieux Pont,,3,,652c90,ffffff,oui
100100160:160,442,160,Nanterre-Préfecture - Pont de Sèvres,,3,,008b5a,ffffff,oui
100100162:162,442,162,Meudon Val Fleury - Villejuif Louis Aragon,,3,,006cb8,ffffff,oui
100100163:163,442,163,Porte de Champerret - Bezons Grand Cerf,,3,,dfb03a,000000,oui
100100164:164,442,164,Porte de Champerret - Argenteuil Collège Claude Monet,,3,,bb499c,ffffff,oui
100100165:165,442,165,Porte de Champerret - Asnières Robert Lavergne,,3,,f68f4b,000000,non
100100166:166,442,166,Porte de Clignancourt - Colombes Audra,,3,,652c90,ffffff,oui
100100167:167,442,167,Pont de Levallois - Nanterre-Ville,,3,,77c695,000000,oui
100100169:169,442,169,Pont de Sèvres - Hôpital Européen Georges Pompidou,,3,,77c695,000000,oui
100100170:170,442,170,Porte des Lilas - St-Denis,,3,,87d3df,000000,oui
100100171:171,442,171,Pont de Sèvres - Gare de Chaville R.D. / Gare de Chaville R.G. / Château de Versailles,,3,,ed1b2a,ffffff,oui
100100172:172,442,172,Bourg-la-Reine - Créteil l'Echat Parking,,3,,008b5a,ffffff,non
100100173:173,442,173,Porte de Clichy - La Courneuve 8 Mai 1945,,3,,006cb8,ffffff,non
100100174:174,442,174,La Défense Grande Arche - St-Ouen,,3,,008b5a,ffffff,oui
100100175:175,442,175,Porte de St-Cloud - Gabriel Péri,,3,,006cb8,ffffff,oui
100100176:176,442,176,Pont de Neuilly - Colombes Petit Gennevilliers,,3,,e0b03b,000000,oui
100100177:177,442,177,Gabriel Péri - Villeneuve-la-Garenne ZI Nord,,3,,77c695,000000,oui
100100178:178,442,178,La Défense Grande Arche - Villeneuve-la-Garenne Place Paul Herbé,,3,,006cb8,ffffff,non
100100179:179,442,179,Pont de Sèvres - Robinson,,3,,008b5a,ffffff,non
100100180:180,442,180,Villejuif Louis Aragon - Charenton Ecoles,,3,,9c983a,ffffff,non
100100181:181,442,181,Ecole Vétérinaire de Maisons-Alfort - Créteil La Gaîté,,3,,8d653a,ffffff,oui
100100182:182,442,182,Mairie d'Ivry - Choisy-le-Roi Pont de Choisy - Villeneuve-Triage,,3,,bb4b9c,ffffff,oui
100100183:183,442,183,Porte de Choisy - Mairie d'Orly - Aéroport d'Orly-Sud,,3,,ed1b2a,ffffff,oui
100100184:184,442,184,Porte d'Italie - Fresnes Pasteur,,3,,dfb03a,000000,oui
100100185:185,442,185,Porte d'Italie - Rungis Marché International - Rungis MIN Marée,,3,,f18b3a,000000,oui
100100186:186,442,186,Porte d'Italie - Fresnes Rond-point Roosevelt,,3,,b43c95,ffffff,oui
100100187:187,442,187,Porte d'Orléans - Fresnes Charcot-Zola,,3,,652c90,ffffff,non
100100188:188,442,188,Porte d'Orléans - Bagneux Rosenberg,,3,,c9a2cd,000000,oui
100100189:189,442,189,Porte de St-Cloud - Clamart Georges Pompidou,,3,,f68f4b,000000,non
100100190:190,442,190,Mairie d'Issy - Clamart Cité de la Plaine - Rond-point du Petit Clamart - Vélizy 2,,3,,8d653a,ffffff,non
