route_short_name,route_color,route_text_color,weelchair,comment,agency_id
537,f59eb3,000000,non,L'Audonienne,100
538,9b983a,ffffff,non,Bus du Port,100
54,8ec3d1,000000,oui,,100
541,f68f4b,000000,oui,Buséolien 1|2,100
542,efefef,000000,oui,Mairie de L'Haÿ-les-Roses - Leclerc-Thomas,100
544,006cb8,ffffff,oui,Autobus Suresnois,100
545,ffcd01,000000,non,,100
546,8d653a,ffffff,non, TUB,100
559,87d3df,000000,oui,,100
56,bb4b9c,ffffff,oui,,100
560,ed1b2a,ffffff,oui,,100
563,ed1b2a,ffffff,non,,100
564,006cb8,ffffff,non,,100
565,008b5a,ffffff,non,,100
566,f68f4b,000000,non,,100
566a,f68f4b,000000,non,Colomb'Parc,100
569,87d3df,000000,non,TIM,100
57,9c983a,ffffff,oui,,100
571,8d653a,ffffff,oui,SUBB,100
572,c9a2cd,000000,non,Navette Monastère,100
574,ffd710,000000,oui,TUCe|TUCo,100
576,008b5a,ffffff,non,La Navette,100
577,f68f4b, 024b77,non,RiverPlaza,100
579,ffcd01,000000,non,Clamibus,100
58,008b5a,ffffff,oui,,100
582,dfb03a,000000,non,Choisybus,100
587,4397d2,ffffff,oui,,100
589,87d3df,000000,non,TUVIM,100
592,87d3df,000000,non,Amibus,100
594,006cb8,ffffff,non,Le petit fontenaisien,100
595,006cb8,ffffff,non,,100
597,77c695,000000,oui,L'Hirondelle,100
60,ed1b2a,ffffff,oui,,100
61,008b5a,ffffff,oui,,100
62,8d653a,ffffff,oui,,100
63,cec92a,000000,oui,,100
64,77c695,000000,oui,,100
65,008b5a,ffffff,oui,,100
66,008b5a,ffffff,oui,,100
67,ea7c9a,000000,oui,,100
68,ffcd01,000000,oui,,100
69,87d3df,000000,oui,,100
70,f68f4b,000000,oui,,100
72,ed1b2a,ffffff,oui,,100
73,8d653a,ffffff,oui,,100
74,cec92a,000000,oui,,100
75,ffcd02,000000,oui,,100
76,652c90,ffffff,oui,,100
80,f59eb3,000000,oui,,100
81,c9a2cd,000000,oui,,100
82,f68f4b,000000,oui,,100
83,ffcd02,000000,oui,,100
84,c9a2cd,000000,oui,,100
85,8d653a,ffffff,oui,,100
86,ed1b2a,ffffff,oui,,100
87,652c90,ffffff,oui,,100
88,cec92a,000000,oui,,100
89,87d3df,000000,oui,,100
91,dfb03a,000000,oui,,100
92,ffcd02,000000,oui,,100
93,77c695,000000,oui,,100
94,bb499c,ffffff,oui,,100
95,8d653a,ffffff,oui,,100
96,dfb03a,000000,oui,,100
97,652c90,ffffff,oui,PC1,100
99,ed1b2a,ffffff,oui,PC3,100
N01,bb499c,ffffff,non,,110
N02,ed1b29,ffffff,non,,110
N11,f68f4b,000000,non,,110
N12,dfb03a,000000,non,,110
N122,4d8fcd,ffffff,non,,110
N13,f59eb3,000000,non,,110
N130,eb282f,ffffff,non,,110
N131,ffe300,000000,non,,110
N132,3ca342,ffffff,non,,110
N133,ffe300,000000,non,,110
N134,3ca342,ffffff,non,,110
N135,3ca342,ffffff,non,,110
N14,77c695,000000,non,,110
N140,4d8fc9,ffffff,non,,110
N141,fcb131,000000,non,,110
N142,d17fb5,ffffff,non,,110
N143,4d8fc9,ffffff,non,,110
N144,3ca342,ffffff,non,,110
N145,00a091,ffffff,non,,110
N15,ffcd02,000000,non,,110
N150,eb282f,ffffff,non,,110
N151,bdd044,000000,non,,110
N152,e92d30,ffffff,non,,110
N153,ed1b29,ffffff,non,,110
N154,ffe300,000000,non,,110
N16,cec92a,000000,non,,110
N21,77c695,000000,non,,110
N22,ffcd02,000000,non,,110
N23,dfb03a,000000,non,,110
N24,f68f4b,000000,non,,110
N31,f59cb3,000000,non,,110
N32,dfb03a,000000,non,,110
N33,f68f4b,000000,non,,110
N34,cec92a,000000,non,,110
N35,ffcd02,000000,non,,110
N41,f59eb3,000000,non,,110
N42,dfb03a,000000,non,,110
N43,f68f4b,000000,non,,110
N44,77c695,000000,non,,110
N45,ffcd02,000000,non,,110
N51,ffcd02,000000,non,,110
N52,cec92a,000000,non,,110
N53,77c695,000000,non,,110
N61,dfb03a,000000,non,,110
N62,f59eb3,000000,non,,110
N63,cec92a,000000,non,,110
N66,dc143c,000000,non,,110
N71,be408d,ffffff,non,,110
B,427DBD,ffffff,non,,120
