stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,streetview_checked,
STOPPOINT:21715,,GAILLAN - Rouman 6 Bis,,45.310395,-1.004128,,,0,STOPAREA:21715,,
STOPPOINT:21906,,TARNES - Les Agrières,,44.972819,-0.359148,,,0,STOPAREA:21906,,
STOPPOINT:21907,,TARNES - Cazeneuve,,44.979490,-0.354546,,,0,STOPAREA:21907,,
STOPPOINT:21908,,FLOIRAC - Coll. N. Mandela,,44.8389329,-0.5346137,,,0,STOPAREA:21908,,
STOPPOINT:21913,,LACANAU - Planquehaute,,44.983223,-1.092981,,,0,STOPAREA:21913,,
STOPPOINT:21915,,BORDEAUX - Jardin Botanique,,44.850191,-0.581230,,,0,STOPAREA:21915,,
STOPPOINT:21927,,LORMONT - Coll. Lapierre,,44.873903,-0.524366,,,0,STOPAREA:21927,,
STOPPOINT:21928,,SALIGNAC - Lot. Duplesis,,45.016217,-0.381615,,,0,STOPAREA:21928,,
STOPPOINT:21941,,LANTON - Les Bruyères 1,,44.7266537,-1.0452688,,,0,STOPAREA:21941,,
STOPPOINT:21950,,CIVRAC MC - Meillan,,45.3569103,-0.928427,,,0,STOPAREA:21950,,
STOPPOINT:22007,,ST SELVE - Les Colchiques,,44.671045,-0.486313,,,0,STOPAREA:22007,,
STOPPOINT:22025,,PEUJARD - Le Sartre,,45.0513424,-0.438503,,,0,STOPAREA:22025,,
STOPPOINT:22042,,BERSON - Bel Air,,45.1246459910068,-0.6015187937011715,,,0,STOPAREA:22042,,
STOPPOINT:22083,,ST CIERS DE C. - Closerie Vignes,,45.0969544,-0.598116,,,0,STOPAREA:22083,,
STOPPOINT:22106,,LUDON - Rue de la Gare,,44.9743851,-0.6111489,,,0,STOPAREA:22106,,
STOPPOINT:22108,,AUBIE ET E. - La Gruppe,,45.0145998,-0.4144042,,,0,STOPAREA:22108,,
STOPPOINT:22110,,ST ESTEPHE - Marbuzet,,45.2376854,-0.7699809,,,0,STOPAREA:22110,,
STOPPOINT:22133,,ST ANDRE DE C. - Carr. RD248 RD10,,44.9877927,-0.4490868,,,0,STOPAREA:22133,,
STOPPOINT:22221,,BAZAS - Super U,,44.4442117,-0.2365705,,,0,STOPAREA:22221,,
,,,,,,,,,,,
,,,,,,,,,,,
STOPAREA:11455,,CARTELEGUE – La Croix,,45.18597634,-0.58489439,,,1,,?,not in latest upstream
STOPAREA:11815,,LUGOS - Bourg,,44.482186,-0.883006,,,1,,?,not in latest upstream
STOPAREA:12345,,BOURG - La Croix ,,45.040836,-0.557677,,,1,,?,not in latest upstream
STOPAREA:12425,,LUGOS – École,,44.48374153,-0.88361661,,,1,,?,not in latest upstream
STOPAREA:12485,,TIZAC DE C. - Larmurey,,44.822134,-0.243922,,,1,,?,not in latest upstream
STOPAREA:20101,,BORDEAUX - Lyc. F. Mauriac,,44.840024,-0.557196,,,1,,?,not in latest upstream
STOPAREA:21995,,MIOS - Av. de la Libération,,44.6052803,-0.9338116,,,1,,yes,
STOPAREA:21912,,LACANAU - Vitanova,,44.994956,-1.178361,,,1,,streetview_too_old,
STOPAREA:22012,,VALEYRAC - Villeneuve,,45.392819,-0.8878068,,,1,,yes,
STOPAREA:22024,,CAMBES - Les Jardins de Thomas,,44.7451335,-0.455819,,,1,,approximative,
STOPAREA:22044,,VENDAYS - Atlantic Club,,45.3698648,-1.1448226,,,1,,yes,
STOPAREA:22057,,ST SELVE - Pl. Jeansotte,,44.6521931,-0.4696842,,,1,,yes,
STOPAREA:22070,,LANGOIRAN - Le Bertaut,,44.7040676,-0.3712778,,,1,,approximative,
STOPPOINT:11455,,CARTELEGUE – La Croix,,45.18597634,-0.58489439,,,0,STOPAREA:11455,?,not in latest upstream
STOPPOINT:11815,,LUGOS - Bourg,,44.482186,-0.883006,,,0,STOPAREA:11815,?,not in latest upstream
STOPPOINT:12345,,BOURG - La Croix ,,45.040836,-0.557677,,,0,STOPAREA:12345,?,not in latest upstream
STOPPOINT:12425,,LUGOS – École,,44.48374153,-0.88361661,,,0,STOPAREA:12425,?,not in latest upstream
STOPPOINT:12485,,TIZAC DE C. - Larmurey,,44.822134,-0.243922,,,0,STOPAREA:12485,?,not in latest upstream
STOPPOINT:20101,,BORDEAUX - Lyc. F. Mauriac,,44.840024,-0.557196,,,0,STOPAREA:20101,?,not in latest upstream
STOPPOINT:21995,,MIOS - Av. de la Libération,,44.6052803,-0.9338116,,,0,STOPAREA:21995,yes,
STOPPOINT:21912,,LACANAU - Vitanova,,44.994956,-1.178361,,,0,STOPAREA:21912,streetview_too_old,
STOPPOINT:22012,,VALEYRAC - Villeneuve,,45.392819,",-0.8878068",,,0,STOPAREA:22012,yes,
STOPPOINT:22024,,CAMBES - Les Jardins de Thomas,,44.7451335,-0.455819,,,0,STOPAREA:22024,approximative,
STOPPOINT:22044,,VENDAYS - Atlantic Club,,45.3698648,-1.1448226,,,0,STOPAREA:22044,yes,
STOPPOINT:22057,,ST SELVE - Pl. Jeansotte,,44.6521931,-0.4696842,,,0,STOPAREA:22057,yes,
STOPPOINT:22070,,LANGOIRAN - Le Bertaut,,44.7040676,-0.3712778,,,0,STOPAREA:22070,approximative,
