stop_id,stop_name,stop_desc,zone_id
"StopArea:DUA8727148","Parc des expositions","Avenue des Nations, 93420 Villepinte","4"
"StopArea:DUA8727605","Ermont - Eaubonne","","4"
"StopArea:DUA8727606","Cernay","Rue Gallieni 95120 Ermont","4"
"StopArea:DUA8727607","Franconville - Le Plessis-Bouchard","Place de la gare 95130 Franconville","4"
"StopArea:DUA8727623","Les Noues","Rue des Bergeronnettes","5"
"StopArea:DUA8727628","La Borne Blanche","","100"
"StopArea:DUA8727643","Domont","PLACE DE LA GARE 95330 DOMONT","4"
"StopArea:DUA8727645","Bruyères-sur-Oise","Rue de la gare 95820 Bruyères-sur-Oise","100"
"StopArea:DUA8727649","Montsoult - Maffliers","Rue Emile Combres 95560 Montsoult Maffliers","5"
"StopArea:DUA8727650","Presles - Courcelles","Place de la gare 95590 Presles","5"
"StopArea:DUA8727660","Saint-Leu-la-Forêt","Place Cyrille Lecomte 95320 Saint-Leu-la-Forêt","4"
"StopArea:DUA8727675","Nointel - Mours","Rue Jean Saunier 95590 Nointel","5"
"StopArea:DUA8733295","Pussay Route de Monnerville","","5"
"StopArea:DUA8738103","Avenue Foch","91 Boulevard Flandrin  75016   Paris","1"
"StopArea:DUA8738109","Le Stade","Boulevard de Finlande 92700 Colombes","3"
"StopArea:DUA8738112","Chichy - Levallois-Perret","5 place du 8 mai 1945 92110 Clichy","2"
"StopArea:DUA8738114","Osny","Rue Aristide Briand 95520 Osny","5"
"StopArea:DUA8738118","Santeuil - Le Perchay","Rue Tour de Voisne 95640 Santeuil","5"
"StopArea:DUA8738119","Chars","Place de Verdun 95750 Chars","5"
"StopArea:DUA8738120","Lavilletertre","","100"
"StopArea:DUA8738121","Liancourt-Saint-Pierre","","100"
"StopArea:DUA8738141","Éragny - Neuville-sur-Oise","Place Alexandre Prachay 95610 Eragny sur Oise","5"
"StopArea:DUA8738155","Juziers","Avenue de la Gare 78820 Juziers","5"
"StopArea:DUA8738158","Limay","Boulevard Pasteur 78520 Limay","5"
"StopArea:DUA8738161","Ménerville","Place de la Gare 78200 Ménerville","5"
"StopArea:DUA8738165","Achères","Rue du Moulin (depuis N186)","5"
"StopArea:DUA8738187","La Frette-sur-Seine - Montiny-lès-Cormeilles","Place de la Gare 95530 La Frette Sur Seine","4"
"StopArea:DUA8738221","La Défense","Rue Carpeaux - 92800 Puteaux","3"
"StopArea:DUA8738237","Suresnes Mont Valérien","Rue Worth 92150 Suresnes","3"
"StopArea:DUA8738243","La Celle-Saint-Cloud","Place Jean Mermoz 78170 La Celle Saint Cloud","4"
"StopArea:DUA8738245","Louveciennes","","4"
"StopArea:DUA8738248","Saint-Nom-la-Bretèche Forêt de Marly","Route de Saint Nom la Bretèche 78620 L'Etang La Ville","5"
"StopArea:DUA8738281","Mareil-Marly","","4"
"StopArea:DUA8738288","Viroflay Rive Droite","1 Place de Stalingrad","3"
"StopArea:DUA8738640","Houilles - Carrières-sur-Seine","Place André Malraux (Rond point)","4"
"StopArea:DUA8738666","Les Clairières de Verneuil","Place de la Résistance 78480 Verneuil Sur Seine","5"
"StopArea:DUA8739156","Clamart","Place de la Gare 92140 Clamart","2"
"StopArea:DUA8739310","Meudon","Place du 8 Mai 1945 92190 Meudon","3"
"StopArea:DUA8739315","Versailles Rive Gauche Château","5, Avenue du Général De Gaulle 78000   Versailles","4"
"StopArea:DUA8739321","Viroflay Rive Gauche","1 Rue Riesseuc 78220 Viroflay","3"
"StopArea:DUA8739325","La Verrière","Avenue Guy Schuler 78320 La Verrières","5"
"StopArea:DUA8739328","Les Essarts-le-Roi","Rue de la Cité 78690 Les Essarts Le Roi","5"
"StopArea:DUA8739332","Boulevard Victor","193, Quai André Citroën 75015 Paris","1"
"StopArea:DUA8739344","Orgerus - Béhoust","Rue de la Gare 78910 Orgerus","5"
"StopArea:DUA8739347","Marchezais - Broué","","100"
"StopArea:DUA8739348","Dreux","","100"
"StopArea:DUA8739350","Les Loges-en-Josa le Petit Jouy","Chemin de Petit Jouy 78350   Les Loges-en-Jouy","4"
"StopArea:DUA8739354","Bièvres","Place de la Gare 91570   Bièvres","4"
"StopArea:DUA8739383","Trappes","Avenue Gabriel Péri 78 190 Trappes","5"
"StopArea:DUA8739415","Jouy","","100"
"StopArea:DUA8741560","Vernon","","100"
"StopArea:DUA8741589","Bonnières","Place du 8 Mai 1945 78270 Bonnières sur seine","5"
"StopArea:DUA8743088","Jouy-sur-Morin Monument aux Morts","","5"
"StopArea:DUA8754309","Angerville","","5"
"StopArea:DUA8754320","Avenue du Président Kennedy Radio France","6, Rue du Ranelagh 75016   Paris","1"
"StopArea:DUA8754512","Guillerval","","5"
"StopArea:DUA8754518","Marolles-en-Hurepoix","Place de la Gare 91630   Marolles-en-Hurepoix","5"
"StopArea:DUA8754519","Brétigny-sur-Orge","Place Pierre Venin 91220  Brétigny-sur-Org","5"
"StopArea:DUA8754546","Arpajon","Rue Aristide Briand 91290   Arpajon","5"
"StopArea:DUA8754548","Breuillet - Bruyères-le-Châtel","Route d'Arpajon 91650   Breuillet","5"
"StopArea:DUA8754551","Sermaise","Route de Dourdan 91530   Sermaise","5"
"StopArea:DUA8754575","Châteaudun","","100"
